Title,Link,Created at,Price,Brand Name
COMBO 5 NOTEBOOK PCBOX + OFFICE 365 + MULTIFUNCION + KIT ESC,https://www.garbarino.com/producto/combo-5-notebook-pcbox-office-365-multifuncion-kit-esc/f82d6d2678,2017-03-01,6.799,pcbox
Notebook Positivo BGH Z131 Intel Pentium,https://www.garbarino.com/producto/notebook-positivo-bgh-z131-intel-pentium/ccffa4a87f,2017-03-01,7.999,positivo bgh
Notebook PCBOX GERT PCB-G14W Intel Core i3,https://www.garbarino.com/producto/notebook-pcbox-gert-pcb-g14w-intel-core-i3/52a4b20e77,2017-03-01,9.999,pcbox
Notebook Compaq 21-N2F3AR Intel Core i3,https://www.garbarino.com/producto/notebook-compaq-21-n2f3ar-intel-core-i3/6f5fa6a082,2017-03-01,9.669,compaq
Notebook Compaq 21-N122AR Intel Pentium,https://www.garbarino.com/producto/notebook-compaq-21-n122ar-intel-pentium/7ef5290957,2017-03-01,8.999,compaq
COMBO 4 NOTEBOOK EXO+OFFICE365+PENDRIVE+MOCHILA+KIT ESCOLAR,https://www.garbarino.com/producto/combo-4-notebook-exooffice365pendrivemochilakit-escolar/3b5766ceae,2017-03-01,5.699,exo
Notebook EXO E15 Intel Atom,https://www.garbarino.com/producto/notebook-exo-e15-intel-atom/b216251023,2017-03-01,4.409,exo
Notebook Compaq 21-N2F5AR Intel Core i5,https://www.garbarino.com/producto/notebook-compaq-21-n2f5ar-intel-core-i5/867ab2318b,2017-03-01,12.999,compaq
Notebook VAIO VJF153A0211W Intel Core i3,https://www.garbarino.com/producto/notebook-vaio-vjf153a0211w-intel-core-i3/e51718f6dc,2017-03-01,14.699,vaio
Notebook HP 15-AY011LA Intel Core i3,https://www.garbarino.com/producto/notebook-hp-15-ay011la-intel-core-i3/691194f8bf,2017-03-01,14.999,hp 
Notebook PCBOX KEI PCB-KE14W Intel Pentium,https://www.garbarino.com/producto/notebook-pcbox-kei-pcb-ke14w-intel-pentium/004fe89bf8,2017-03-01,6.209,pcbox
Notebook Positivo BGH A1500 Intel Core i3,https://www.garbarino.com/producto/notebook-positivo-bgh-a1500-intel-core-i3/a8a2d851ba,2017-03-01,9.799,positivo bgh
Notebook DELL I5458_i341TSW10s Intel Core i3,https://www.garbarino.com/producto/notebook-dell-i5458_i341tsw10s-intel-core-i3/bbf25c3856,2017-03-01,12.299,dell
Notebook HP 14-AC101LA Intel Celeron,https://www.garbarino.com/producto/notebook-hp-14-ac101la-intel-celeron/81ad772004,2017-03-01,8.599,hp 
Notebook VAIO FIT 15F Intel Core i3,https://www.garbarino.com/producto/notebook-vaio-fit-15f-intel-core-i3/8590175aff,2017-03-01,14.999,vaio
Notebook Compaq 21-N2F7AR Intel Core i7,https://www.garbarino.com/producto/notebook-compaq-21-n2f7ar-intel-core-i7/8de29e01cc,2017-03-01,15.679,compaq
Notebook HP 14-AM092LA Intel Core i3,https://www.garbarino.com/producto/notebook-hp-14-am092la-intel-core-i3/ed8eac7eb0,2017-03-01,12.499,hp
COMBO 6 NOTEBOOK PCBOX KEI + OFFICE + MULTIFUNCION + KIT ESC,https://www.garbarino.com/producto/combo-6-notebook-pcbox-kei-office-multifuncion-kit-esc/2250ceed64,2017-03-01,7.699,pcbox
Notebook Acer ASPIRE ES1-431-C11D-ES Intel Celeron,https://www.garbarino.com/producto/notebook-acer-aspire-es1-431-c11d-es-intel-celeron/26e26234cb,2017-03-01,6.599,acer
Notebook PCBOX SIGUI PLUS Intel Celeron,https://www.garbarino.com/producto/notebook-pcbox-sigui-plus-intel-celeron/2d9963f511,2017-03-01,5.309,pcbox
